/Library/Java/JavaVirtualMachines/graalvm-24.jdk/Contents/Home/bin/java -javaagent:/Users/raphaelthelen/Library/Caches/JetBrains/IntelliJIdea2025.1/captureAgent/debugger-agent.jar=file:///var/folders/6y/8w3g1rbx2kv5dx9fvmsp6hlh0000gn/T/capture16868080528093480936.props -ea -Didea.test.cyclic.buffer.size=1048576 -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=59631 -Dkotlinx.coroutines.debug.enable.creation.stack.trace=false -Ddebugger.agent.enable.coroutines=true -Dkotlinx.coroutines.debug.enable.flows.stack.trace=true -Dkotlinx.coroutines.debug.enable.mutable.state.flows.stack.trace=true -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8 -classpath /Users/raphaelthelen/.m2/repository/org/junit/platform/junit-platform-launcher/1.10.2/junit-platform-launcher-1.10.2.jar:/Users/raphaelthelen/.m2/repository/org/junit/platform/junit-platform-engine/1.10.2/junit-platform-engine-1.10.2.jar:/Users/raphaelthelen/.m2/repository/org/opentest4j/opentest4j/1.3.0/opentest4j-1.3.0.jar:/Users/raphaelthelen/.m2/repository/org/junit/platform/junit-platform-commons/1.10.2/junit-platform-commons-1.10.2.jar:/Users/raphaelthelen/.m2/repository/org/apiguardian/apiguardian-api/1.1.2/apiguardian-api-1.1.2.jar:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar:/Applications/IntelliJ IDEA.app/Contents/plugins/junit/lib/junit5-rt.jar:/Applications/IntelliJ IDEA.app/Contents/plugins/junit/lib/junit-rt.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/out/test/sim4da-S25:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/out/production/sim4da-S25:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/jackson-databind-2.14.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/jackson-annotations-2.14.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/jackson-core-2.14.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-api-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/opentest4j-1.3.0.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-platform-commons-1.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/apiguardian-api-1.1.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-params-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-engine-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-platform-engine-1.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/logback-classic-1.4.14.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/logback-core-1.4.14.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/slf4j-api-2.0.7.jar com.intellij.rt.junit.JUnitStarter -ideVersion5 -junit5 org.oxoo2a.sim4da.OneRingToRuleThemAll

--- Experiment n=2 ---
sim4da Summer 2025
Node 1 final: rounds=3, multicasts=0, min_time=1 (2), avg_time=68.33, max_time=203 (1)
Node 0 final: rounds=4, multicasts=1, min_time=0 (3), avg_time=51.25, max_time=203 (1)

--- Experiment n=4 ---
Node 0 final: rounds=4, multicasts=0, min_time=0 (3), avg_time=1.50, max_time=3 (2)
Node 1 final: rounds=4, multicasts=1, min_time=1 (3), avg_time=1.75, max_time=3 (1)
Node 3 final: rounds=4, multicasts=1, min_time=1 (2), avg_time=1.50, max_time=3 (1)
Node 2 final: rounds=4, multicasts=1, min_time=1 (3), avg_time=1.50, max_time=2 (1)

--- Experiment n=8 ---
Node 0 final: rounds=7, multicasts=2, min_time=1 (6), avg_time=2.71, max_time=6 (2)
Node 2 final: rounds=7, multicasts=1, min_time=1 (7), avg_time=2.71, max_time=6 (2)
Node 3 final: rounds=7, multicasts=3, min_time=1 (7), avg_time=2.71, max_time=5 (2)
Node 1 final: rounds=7, multicasts=0, min_time=1 (3), avg_time=2.86, max_time=6 (2)
Node 6 final: rounds=7, multicasts=2, min_time=1 (6), avg_time=2.57, max_time=5 (1)
Node 5 final: rounds=7, multicasts=0, min_time=1 (6), avg_time=2.57, max_time=5 (1)
Node 4 final: rounds=7, multicasts=1, min_time=1 (6), avg_time=2.71, max_time=5 (1)
Node 7 final: rounds=7, multicasts=2, min_time=1 (6), avg_time=2.71, max_time=6 (1)

--- Experiment n=16 ---
Node 15 final: rounds=5, multicasts=2, min_time=2 (4), avg_time=5.60, max_time=13 (1)
Node 2 final: rounds=6, multicasts=1, min_time=1 (6), avg_time=5.17, max_time=13 (2)
Node 1 final: rounds=6, multicasts=0, min_time=1 (5), avg_time=5.33, max_time=13 (2)
Node 0 final: rounds=6, multicasts=1, min_time=1 (5), avg_time=5.33, max_time=15 (2)
Node 8 final: rounds=6, multicasts=1, min_time=1 (5), avg_time=5.17, max_time=13 (2)
Node 9 final: rounds=6, multicasts=1, min_time=1 (5), avg_time=5.17, max_time=11 (2)
Node 7 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=5.17, max_time=12 (2)
Node 6 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=5.17, max_time=13 (2)
Node 5 final: rounds=6, multicasts=0, min_time=2 (5), avg_time=5.33, max_time=13 (2)
Node 4 final: rounds=6, multicasts=0, min_time=1 (6), avg_time=5.17, max_time=13 (2)
Node 3 final: rounds=6, multicasts=1, min_time=1 (6), avg_time=5.17, max_time=13 (2)
Node 14 final: rounds=6, multicasts=2, min_time=2 (5), avg_time=5.17, max_time=12 (1)
Node 13 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=5.17, max_time=10 (1)
Node 12 final: rounds=6, multicasts=0, min_time=2 (5), avg_time=5.17, max_time=10 (1)
Node 11 final: rounds=6, multicasts=0, min_time=1 (5), avg_time=5.17, max_time=10 (1)
Node 10 final: rounds=6, multicasts=0, min_time=1 (5), avg_time=5.17, max_time=10 (1)

--- Experiment n=32 ---
Node 16 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=10.17, max_time=22 (1)
Node 20 final: rounds=6, multicasts=1, min_time=2 (6), avg_time=10.00, max_time=23 (1)
Node 19 final: rounds=6, multicasts=0, min_time=2 (6), avg_time=10.00, max_time=23 (1)
Node 18 final: rounds=6, multicasts=0, min_time=2 (6), avg_time=10.00, max_time=23 (1)
Node 17 final: rounds=6, multicasts=0, min_time=2 (6), avg_time=10.17, max_time=24 (1)
Node 27 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=10.00, max_time=27 (1)
Node 26 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=10.00, max_time=26 (1)
Node 25 final: rounds=6, multicasts=0, min_time=2 (5), avg_time=10.00, max_time=25 (1)
Node 31 final: rounds=6, multicasts=1, min_time=2 (6), avg_time=9.83, max_time=29 (1)
Node 24 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=10.00, max_time=24 (1)
Node 1 final: rounds=7, multicasts=1, min_time=3 (6), avg_time=9.71, max_time=26 (2)
Node 23 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=10.00, max_time=24 (1)
Node 22 final: rounds=6, multicasts=0, min_time=2 (5), avg_time=9.83, max_time=24 (1)
Node 21 final: rounds=6, multicasts=1, min_time=2 (5), avg_time=10.00, max_time=23 (1)
