/Library/Java/JavaVirtualMachines/graalvm-24.jdk/Contents/Home/bin/java -javaagent:/Users/raphaelthelen/Library/Caches/JetBrains/IntelliJIdea2025.1/captureAgent/debugger-agent.jar=file:///var/folders/6y/8w3g1rbx2kv5dx9fvmsp6hlh0000gn/T/capture9383959302845847743.props -ea -Xms4g -Xmx4g -Xss208k -Didea.test.cyclic.buffer.size=1048576 -javaagent:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar=59829 -Dkotlinx.coroutines.debug.enable.creation.stack.trace=false -Ddebugger.agent.enable.coroutines=true -Dkotlinx.coroutines.debug.enable.flows.stack.trace=true -Dkotlinx.coroutines.debug.enable.mutable.state.flows.stack.trace=true -Dfile.encoding=UTF-8 -Dsun.stdout.encoding=UTF-8 -Dsun.stderr.encoding=UTF-8 -classpath /Users/raphaelthelen/.m2/repository/org/junit/platform/junit-platform-launcher/1.10.2/junit-platform-launcher-1.10.2.jar:/Users/raphaelthelen/.m2/repository/org/junit/platform/junit-platform-engine/1.10.2/junit-platform-engine-1.10.2.jar:/Users/raphaelthelen/.m2/repository/org/opentest4j/opentest4j/1.3.0/opentest4j-1.3.0.jar:/Users/raphaelthelen/.m2/repository/org/junit/platform/junit-platform-commons/1.10.2/junit-platform-commons-1.10.2.jar:/Users/raphaelthelen/.m2/repository/org/apiguardian/apiguardian-api/1.1.2/apiguardian-api-1.1.2.jar:/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar:/Applications/IntelliJ IDEA.app/Contents/plugins/junit/lib/junit5-rt.jar:/Applications/IntelliJ IDEA.app/Contents/plugins/junit/lib/junit-rt.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/out/test/sim4da-S25:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/out/production/sim4da-S25:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/jackson-databind-2.14.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/jackson-annotations-2.14.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/jackson-core-2.14.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-api-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/opentest4j-1.3.0.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-platform-commons-1.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/apiguardian-api-1.1.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-params-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-jupiter-engine-5.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/junit-platform-engine-1.10.2.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/logback-classic-1.4.14.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/logback-core-1.4.14.jar:/Users/raphaelthelen/Arbeitsplatz/Uni/Verteilte Systeme/Übungsblatt 1/Aufgabe 3/lib/slf4j-api-2.0.7.jar com.intellij.rt.junit.JUnitStarter -ideVersion5 -junit5 org.oxoo2a.sim4da.OneRingToRuleThemAll

--- Experiment n=2 ---
sim4da Summer 2025
Node 0 final: rounds=4, multicasts=1, min_time=1 (2), avg_time=37.50, max_time=147 (1)
Node 1 final: rounds=4, multicasts=1, min_time=1 (2), avg_time=37.50, max_time=147 (1)

--- Experiment n=4 ---
Node 0 final: rounds=5, multicasts=0, min_time=2 (1), avg_time=2.20, max_time=3 (3)
Node 1 final: rounds=5, multicasts=0, min_time=1 (1), avg_time=2.40, max_time=4 (5)
Node 2 final: rounds=5, multicasts=0, min_time=1 (2), avg_time=2.40, max_time=4 (3)
Node 3 final: rounds=5, multicasts=1, min_time=1 (1), avg_time=2.40, max_time=3 (3)

--- Experiment n=8 ---
Node 6 final: rounds=5, multicasts=1, min_time=1 (5), avg_time=3.60, max_time=6 (2)
Node 1 final: rounds=6, multicasts=0, min_time=1 (5), avg_time=3.17, max_time=6 (2)
Node 2 final: rounds=6, multicasts=1, min_time=1 (5), avg_time=3.17, max_time=6 (2)
Node 0 final: rounds=6, multicasts=0, min_time=1 (5), avg_time=3.33, max_time=7 (2)
Node 7 final: rounds=5, multicasts=1, min_time=1 (4), avg_time=3.60, max_time=6 (3)
Node 4 final: rounds=6, multicasts=0, min_time=1 (6), avg_time=3.33, max_time=6 (3)
Node 3 final: rounds=6, multicasts=2, min_time=1 (5), avg_time=3.33, max_time=7 (2)
Node 5 final: rounds=6, multicasts=3, min_time=1 (5), avg_time=3.33, max_time=6 (3)

--- Experiment n=16 ---
Node 6 final: rounds=8, multicasts=2, min_time=3 (7), avg_time=6.00, max_time=11 (2)
Node 8 final: rounds=8, multicasts=0, min_time=2 (5), avg_time=6.00, max_time=11 (2)
Node 7 final: rounds=8, multicasts=1, min_time=3 (5), avg_time=6.00, max_time=10 (1)
Node 9 final: rounds=8, multicasts=1, min_time=2 (5), avg_time=6.13, max_time=11 (2)
Node 10 final: rounds=8, multicasts=1, min_time=2 (7), avg_time=6.13, max_time=12 (1)
Node 11 final: rounds=8, multicasts=1, min_time=3 (5), avg_time=6.13, max_time=12 (1)
Node 12 final: rounds=8, multicasts=1, min_time=3 (5), avg_time=6.13, max_time=14 (1)
Node 13 final: rounds=8, multicasts=0, min_time=2 (5), avg_time=6.13, max_time=14 (1)
Node 14 final: rounds=8, multicasts=2, min_time=2 (5), avg_time=6.13, max_time=14 (1)
Node 0 final: rounds=9, multicasts=2, min_time=2 (1), avg_time=5.67, max_time=16 (2)
Node 1 final: rounds=9, multicasts=1, min_time=3 (6), avg_time=5.78, max_time=15 (2)
Node 4 final: rounds=9, multicasts=0, min_time=2 (6), avg_time=5.67, max_time=12 (2)
Node 5 final: rounds=9, multicasts=3, min_time=2 (6), avg_time=5.67, max_time=12 (2)
Node 15 final: rounds=8, multicasts=1, min_time=2 (5), avg_time=6.13, max_time=15 (1)
Node 3 final: rounds=9, multicasts=2, min_time=3 (6), avg_time=5.67, max_time=14 (2)
Node 2 final: rounds=9, multicasts=1, min_time=3 (6), avg_time=5.78, max_time=15 (2)

--- Experiment n=32 ---
Node 22 final: rounds=8, multicasts=1, min_time=4 (6), avg_time=13.25, max_time=24 (1)
Node 23 final: rounds=8, multicasts=1, min_time=5 (6), avg_time=13.25, max_time=25 (1)
Node 25 final: rounds=8, multicasts=1, min_time=6 (8), avg_time=13.38, max_time=27 (1)
Node 24 final: rounds=8, multicasts=1, min_time=6 (8), avg_time=13.38, max_time=27 (1)
Node 26 final: rounds=8, multicasts=1, min_time=5 (8), avg_time=13.25, max_time=26 (1)
Node 27 final: rounds=8, multicasts=1, min_time=5 (8), avg_time=13.25, max_time=26 (1)
Node 28 final: rounds=8, multicasts=1, min_time=6 (8), avg_time=13.38, max_time=28 (1)
Node 29 final: rounds=8, multicasts=2, min_time=5 (8), avg_time=13.38, max_time=28 (1)
Node 30 final: rounds=8, multicasts=0, min_time=6 (8), avg_time=13.50, max_time=30 (1)
Node 31 final: rounds=8, multicasts=1, min_time=6 (8), avg_time=13.50, max_time=31 (1)
Node 0 final: rounds=9, multicasts=0, min_time=4 (1), avg_time=12.33, max_time=30 (2)
Node 1 final: rounds=9, multicasts=1, min_time=4 (1), avg_time=12.33, max_time=30 (2)
Node 2 final: rounds=9, multicasts=2, min_time=6 (1), avg_time=12.44, max_time=28 (2)
Node 3 final: rounds=9, multicasts=1, min_time=6 (9), avg_time=12.44, max_time=27 (2)
