shards,mode,test,req_s,p50_ms,p90_ms,p99_ms,errors
1,pael,mixed,51826.14,21,27,53,1554809
1,pael,read,8296.34,58,73,109,0
1,pael,write,4138.97,221,334,482,0
1,pcec,mixed,49317.34,20,28,60,1479530
1,pcec,read,7783.6,62,77,105,0
1,pcec,write,3437.77,268,396,552,0
2,pael,mixed,46461.34,22,30,67,1393922
2,pael,read,7668.8,62,79,123,0
2,pael,write,4171.57,220,332,468,0
2,pcec,mixed,47981.87,19,29,65,1439375
2,pcec,read,7303.47,66,81,120,0
2,pcec,write,3311.6,282,400,540,0
3,pael,mixed,46208,19,31,63,1386169
3,pael,read,6897.47,70,86,130,0
3,pael,write,3810.2,241,369,530,0
3,pcec,mixed,48112.8,19,29,62,1443280
3,pcec,read,6849.7,70,88,141,0
3,pcec,write,2985.14,310,450,650,0
